data_time,LH-0-0D-QJ-1_temperature,LH-0-0D-QJ-1_xAxisAngle,LH-0-0D-QJ-1_yAxisAngle,LH-0-1D-QJ-1_temperature,LH-0-1D-QJ-1_xAxisAngle,LH-0-1D-QJ-1_yAxisAngle,LH-0-1L-LX-1_beamPierRelativeDisplacement,LH-0-1L-LX-1_measureDisplacement,LH-0-1L-LX-2_beamPierRelativeDisplacement,LH-0-1L-LX-2_measureDisplacement,LH-0-1L-LX-3_beamPierRelativeDisplacement,LH-0-1L-LX-3_measureDisplacement,LH-0-1L-LX-4_beamPierRelativeDisplacement,LH-0-1L-LX-4_measureDisplacement,LH-0-1L-WSD-1_humidity,LH-0-1L-WSD-1_temperature,LH-0-1L-YB-1_frequency,LH-0-1L-YB-1_strain,LH-0-1L-YB-1_temperature,LH-0-1L-YB-2_frequency,LH-0-1L-YB-2_strain,LH-0-1L-YB-2_temperature
2025-12-31 18:10:00,19.949,0.40947,0.18903,19.7295,0.22312,0.03201,486.111,,471.015,,,,476.647,,69.0,20.5,880.253,,3708.18,898.032,,3732.45
2025-12-31 18:20:00,20.0197,0.41116,0.18994,19.7661,0.21936,0.03023,486.019,,,,511.193,,476.755,,67.1,20.4,880.025,,3692.78,898.31,,3723.98
2025-12-31 18:40:00,,,,,,,,,,,,,476.74,,67.6,20.3,,,,,,
2025-12-31 18:50:00,19.7549,0.41421,0.18885,19.5837,0.22172,0.03084,485.773,,,,511.224,,476.647,,67.8,20.3,879.601,,3738.16,898.189,,3748.39
2025-12-31 19:00:00,19.7287,0.41358,0.18832,19.5646,0.22213,0.02951,485.773,,471.184,,511.177,,477.201,,67.8,20.3,881.046,,3736.13,898.014,,3749.78
2025-12-31 19:10:00,19.6514,0.41221,0.19058,19.4792,0.22124,0.0284,485.742,,471.66,,511.177,,477.201,,68.3,,879.798,,3749.22,898.314,,3751.53
2025-12-31 19:20:00,19.5909,0.41469,0.18944,19.4146,0.22016,0.02859,485.819,,,,511.177,,476.801,,68.5,20.3,880.065,,3763.46,898.175,,3761.24
2025-12-31 19:30:00,19.5526,0.41713,0.19032,19.3947,0.22393,0.02947,485.742,,471.675,,511.224,,476.601,,69.8,20.3,879.969,,3758.19,898.072,,3760.31
2025-12-31 19:40:00,19.4944,0.41483,0.1898,19.393,0.22229,0.03035,485.804,,471.614,,511.162,,476.647,,68.8,20.3,880.087,,3764.84,898.18,,3764.94
2025-12-31 19:50:00,19.5215,0.41395,0.18882,19.3476,0.22302,0.02892,485.972,,471.675,,511.224,,477.201,,,20.3,880.227,,3772.07,898.211,,3765.77
2025-12-31 20:00:00,19.4936,0.41408,0.19094,19.3467,0.22324,0.03062,485.681,,471.629,,511.131,,476.632,,71.6,20.2,880.555,,3776.33,898.354,,3775.03
2025-12-31 20:10:00,19.4848,0.41346,0.19017,19.3548,0.22307,0.03036,485.773,,471.691,,511.162,,476.678,,70.5,20.2,880.108,,3779.48,898.296,,3780.41
2025-12-31 20:20:00,19.3987,0.41289,0.18939,19.29,0.21992,0.03055,485.711,,,,511.147,,476.663,,71.1,20.2,880.796,,3788.76,898.422,,3776.88
2025-12-31 20:30:00,19.3196,0.41568,0.18944,19.2213,0.22534,0.03039,485.65,,471.184,,511.177,,476.709,,,20.1,880.993,,3798.98,898.337,,3781.98
2025-12-31 20:40:00,19.1854,0.41586,0.18992,19.1485,0.22278,0.032,485.834,,,,511.147,,476.647,,72.1,20.0,880.314,,3808.1,898.579,,3789.22
2025-12-31 20:50:00,19.0485,0.414,0.19011,19.0989,0.22309,0.03113,485.788,,471.292,,511.162,,476.617,,72.5,20.0,880.651,,3819.47,898.574,,3796.1
2025-12-31 21:00:00,,,,19.0189,0.2234,0.0295,485.788,,471.307,,511.208,,477.232,,,19.9,880.533,,3828.34,898.583,,3804.19
2025-12-31 21:20:00,18.974,0.41553,0.1892,18.9363,0.22401,0.03073,,,,,511.162,,476.801,,73.9,19.8,,,,,,
2025-12-31 21:30:00,18.8778,0.41448,0.19102,18.8914,0.22406,0.03067,485.88,,471.199,,511.177,,476.647,,74.1,19.8,880.603,,3855.19,898.982,,3827.59
2025-12-31 21:40:00,18.8161,0.41517,0.1899,18.8121,0.2239,0.02896,485.788,,,,511.177,,476.724,,,19.7,880.673,,3875.75,898.843,,3847.88
2025-12-31 21:50:00,18.7462,0.41353,0.19033,18.7824,0.22413,0.03089,485.665,,,,511.116,,476.77,,74.5,19.6,881.068,,3883.18,898.947,,3848.82
2025-12-31 22:00:00,18.7077,0.41321,0.18747,18.7599,0.22856,0.03033,485.604,,471.399,,511.224,,476.801,,74.4,19.6,880.787,,3878.29,899.027,,3842.17
2025-12-31 22:10:00,18.6234,0.41602,0.19107,18.7141,0.22286,0.03092,,,471.292,,511.162,,476.832,,74.4,,880.792,,3874.34,898.812,,3839.65
2025-12-31 22:20:00,,,,18.6868,0.22447,0.03057,485.773,,471.829,,511.193,,477.385,,,19.5,880.599,,3884.68,898.879,,3853.5
2025-12-31 22:30:00,18.6411,0.41821,0.19001,18.6788,0.22372,0.032,485.773,,471.783,,511.224,,476.847,,75.5,19.5,881.064,,3892.69,899.451,,3864.1
2025-12-31 22:40:00,18.6121,0.4154,0.18977,18.6788,0.22413,0.03081,485.527,,471.491,,511.162,,476.893,,75.0,19.4,880.801,,3894.86,899.027,,3868.98
2025-12-31 22:50:00,18.6386,0.41386,0.18968,18.5984,0.22514,0.03027,485.85,,471.798,,511.147,,476.847,,74.0,19.4,880.638,,3891.18,899.216,,3886.29
2025-12-31 23:00:00,18.4778,0.416,0.19076,18.4053,0.22334,0.03042,,,471.307,,511.177,,476.817,,73.6,19.4,880.783,,3907.79,899.166,,3892.97
2025-12-31 23:10:00,18.3699,0.4156,0.19006,18.4585,0.22494,0.0312,485.727,,471.184,,511.254,,476.878,,73.9,19.4,880.779,,3925.29,899.184,,3894.01
2025-12-31 23:20:00,18.4496,0.4151,0.18943,18.4641,0.22412,0.02947,485.788,,471.629,,511.224,,476.817,,75.9,,881.44,,3921.22,899.086,,3882.8
2025-12-31 23:30:00,18.4255,0.41554,0.18908,18.4987,0.22366,0.03042,485.681,,471.123,,511.162,,476.801,,76.3,19.3,880.906,,3910.06,899.068,,3882.33
2025-12-31 23:40:00,18.4649,0.41481,0.18864,18.2062,0.22482,0.02922,485.865,,471.645,,511.162,,476.801,,78.4,19.3,880.459,,3888.26,899.045,,3886.0
2025-12-31 23:50:00,18.518,0.41382,0.19049,18.2659,0.22446,0.02969,485.619,,471.169,,511.193,,477.37,,78.1,19.2,880.678,,3874.05,899.113,,3896.75
2026-01-01 00:00:00,18.5478,0.41483,0.18972,18.2756,0.2275,0.02994,485.619,,471.645,,511.177,,476.678,,76.1,19.2,880.332,,3865.32,899.063,,3888.17
2026-01-01 00:10:00,18.3554,0.41564,0.19015,18.3312,0.22414,0.02991,485.757,,471.675,,511.177,,476.663,,76.4,19.2,880.63,,3914.22,898.996,,3888.45
2026-01-01 00:20:00,,,,18.3594,0.22395,0.02972,485.788,,471.077,,511.224,,,,76.3,19.2,880.695,,3933.15,898.987,,3892.31
2026-01-01 00:30:00,18.2466,0.41484,0.19041,18.3949,0.22454,0.03025,486.003,,471.169,,,,,,77.1,19.2,880.612,,3915.73,899.153,,3881.67
2026-01-01 00:40:00,18.3586,0.41589,0.19009,18.481,0.22407,0.03031,485.681,,471.199,,511.177,,476.801,,77.2,19.3,880.581,,3916.11,,,
2026-01-01 00:50:00,18.3304,0.41504,0.189,18.4826,0.22386,0.03082,485.819,,471.645,,,,476.694,,77.3,19.3,880.551,,3919.14,899.054,,3901.56
2026-01-01 01:00:00,18.382,0.4163,0.19006,18.5148,0.22453,0.0306,485.788,,471.66,,511.177,,476.647,,,19.2,880.616,,3928.61,899.09,,3902.69
2026-01-01 01:10:00,18.4391,0.41546,0.19021,18.332,0.22359,0.03034,485.742,,471.153,,511.162,,476.647,,,19.2,880.275,,3886.76,898.915,,3892.79
2026-01-01 01:20:00,18.547,0.41541,0.19014,18.1498,0.2258,0.03109,485.604,,,,511.301,,476.647,,77.5,19.1,880.341,,3897.59,898.942,,3900.24
2026-01-01 01:30:00,18.5035,0.41497,0.19176,18.2425,0.22398,0.02979,485.942,,471.706,,511.208,,476.678,,77.7,19.1,,,,898.982,,3905.62
2026-01-01 01:40:00,18.3345,0.41444,0.19002,18.3771,0.22335,0.03066,485.65,,471.153,,,,477.185,,77.5,19.1,880.494,,3913.65,899.027,,3917.15
2026-01-01 01:50:00,17.9906,0.41626,0.19073,18.1393,0.22519,0.02998,485.773,,471.215,,511.239,,476.678,,78.1,19.0,880.906,,3987.21,899.131,,3929.93
2026-01-01 02:00:00,17.9081,0.41578,0.19038,18.1151,0.22473,0.03155,485.773,,471.629,,511.27,,,,77.8,19.0,880.976,,4009.31,899.193,,3942.36
2026-01-01 02:10:00,17.9235,0.41552,0.1896,18.1279,0.22402,0.02979,485.788,,471.138,,,,,,,18.9,880.796,,3987.78,898.969,,3918.19
2026-01-01 02:20:00,17.8863,0.41585,0.19067,18.157,0.22442,0.0307,,,471.568,,,,476.678,,78.4,18.9,880.77,,3983.2,899.162,,3942.83
2026-01-01 02:30:00,17.8579,0.41537,0.18984,18.1449,0.22443,0.03053,485.742,,470.984,,511.193,,476.663,,78.2,18.9,880.713,,3978.8,899.0,,3929.55
2026-01-01 02:40:00,17.8377,0.41542,0.18976,18.1037,0.22436,0.03006,485.604,,471.552,,511.239,,477.216,,78.0,18.9,880.752,,3993.23,899.113,,3944.16
2026-01-01 02:50:00,17.8336,0.41463,0.19012,,,,486.049,,471.537,,511.224,,476.709,,77.7,18.8,880.752,,3990.84,898.978,,3936.85
2026-01-01 03:00:00,17.8207,0.41583,0.19049,18.0221,0.22417,0.02996,,,471.046,,511.224,,476.647,,77.8,18.8,880.814,,4002.61,899.216,,3956.23
2026-01-01 03:10:00,17.7721,0.415,0.18985,17.9696,0.22388,0.02919,485.65,,471.583,,511.193,,476.678,,78.1,18.7,880.831,,4019.77,899.242,,3967.18
2026-01-01 03:20:00,17.7567,0.41534,0.19032,17.9873,0.22408,0.02977,485.404,,471.0,,511.224,,477.185,,78.4,18.7,880.866,,4027.36,899.402,,3999.64
2026-01-01 03:30:00,17.6472,0.41481,0.19037,17.9218,0.22395,0.03063,486.08,,471.568,,511.239,,477.262,,78.8,18.6,880.849,,4029.09,899.273,,3979.28
2026-01-01 03:40:00,17.5173,0.41572,0.19106,17.8312,0.2242,0.0306,485.819,,471.552,,511.162,,476.663,,79.9,18.6,880.796,,4029.09,899.126,,3960.23
2026-01-01 03:50:00,17.5027,0.41592,0.19025,,,,486.08,,471.046,,511.147,,476.632,,79.4,18.5,880.901,,4044.19,899.291,,3996.77
2026-01-01 04:00:00,,,,17.7421,0.2243,0.02881,485.681,,471.0,,511.177,,476.632,,79.7,18.5,881.042,,4069.67,899.478,,4025.24
2026-01-01 04:10:00,17.2725,0.41496,0.19077,,,,,,471.552,,511.177,,476.663,,80.8,18.3,881.614,,4093.68,899.492,,4018.23
2026-01-01 04:20:00,17.2733,0.41558,0.18902,17.6407,0.22522,0.02991,485.834,,471.046,,511.239,,476.663,,81.1,18.3,881.059,,4090.58,899.286,,4002.7
