timestamp,LGE-0-0D-QJ-1_temperature,LGE-0-0D-QJ-1_xAxisAngle,LGE-0-0D-QJ-1_yAxisAngle,LGE-0-1D-QJ-1_temperature,LGE-0-1D-QJ-1_xAxisAngle,LGE-0-1D-QJ-1_yAxisAngle,LGE-0-1L-LX-1_beamPierRelativeDisplacement,LGE-0-1L-LX-1_measureDisplacement,LGE-0-1L-LX-2_beamPierRelativeDisplacement,LGE-0-1L-LX-2_measureDisplacement,LGE-0-1L-LX-3_beamPierRelativeDisplacement,LGE-0-1L-LX-3_measureDisplacement,LGE-0-1L-LX-4_beamPierRelativeDisplacement,LGE-0-1L-LX-4_measureDisplacement,LGE-0-1L-WSD-1_humidity,LGE-0-1L-WSD-1_temperature,LGE-0-1L-YB-1_frequency,LGE-0-1L-YB-1_strain,LGE-0-1L-YB-1_temperature,LGE0-1L-YB-2_frequency,LGE0-1L-YB-2_strain,LGE0-1L-YB-2_temperature
2025-12-30 20:00:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.875,11.786576875000002,3578.85,865.268,20.050346323,3582.73
2025-12-30 20:10:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.707,11.786576875000002,3574.53,865.173,20.050346323,3584.71
2025-12-30 20:20:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.759,11.786576875000002,3571.47,865.148,20.050346323,3584.89
2025-12-30 20:30:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.737,11.786576875000002,3573.81,865.225,20.050346323,3594.5399999999995
2025-12-30 20:40:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.849,11.786576875000002,3579.39,865.285,20.050346323,3600.05
2025-12-30 20:50:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.707,11.786576875000002,3598.15,865.475,20.050346323,3608.81
2025-12-30 21:00:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.849,11.786576875000002,3613.61,865.242,20.050346323,3619.86
2025-12-30 21:10:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.936,11.786576875000002,3606.28,865.225,20.050346323,3621.31
2025-12-30 21:20:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.733,11.786576875000002,3620.58,865.191,20.050346323,3627.2000000000003
2025-12-30 21:30:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.703,11.786576875000002,3648.18,865.251,20.050346323,3642.6299999999997
2025-12-30 21:40:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.509,11.786576875000002,3640.63,865.32,20.050346323,3645.63
2025-12-30 21:50:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.974,11.786576875000002,3627.02,865.32,20.050346323,3649.18
2025-12-30 22:00:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.996,11.786576875000002,3619.04,865.781,20.050346323,3645.18
2025-12-30 22:10:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,868.06,11.786576875000002,3627.74,864.696,20.050346323,3649.18
2025-12-30 22:20:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.867,11.786576875000002,3628.2,865.255,20.050346323,3652.9999999999995
2025-12-30 22:30:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.983,11.786576875000002,3625.29,865.324,20.050346323,3648.73
2025-12-30 22:40:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.813,11.786576875000002,3635.1,865.227,20.050346323,3659.385
2025-12-30 22:50:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.643,11.786576875000002,3644.91,865.13,20.050346323,3670.04
2025-12-30 23:00:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.376,11.786576875000002,3657.65,865.1,20.050346323,3706.74
2025-12-30 23:10:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.342,11.786576875000002,3663.02,865.337,20.050346323,3713.99
2025-12-30 23:20:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.3520333333333,11.786576875000002,3670.014666666666,865.3183666666666,20.050346323,3720.1769999999997
2025-12-30 23:30:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.3620666666667,11.786576875000002,3677.0093333333334,865.2997333333333,20.050346323,3726.3639999999996
2025-12-30 23:40:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.3721,11.786576875000002,3684.004,865.2811,20.050346323,3732.551
2025-12-30 23:50:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.3821333333333,11.786576875000002,3690.998666666667,865.2624666666667,20.050346323,3738.738
2025-12-31 00:00:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.3921666666666,11.786576875000002,3697.9933333333333,865.2438333333333,20.050346323,3744.9249999999997
2025-12-31 00:10:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.4022,11.786576875000002,3704.988,865.2252,20.050346323,3751.1119999999996
2025-12-31 00:20:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.4122333333333,11.786576875000002,3711.982666666667,865.2065666666666,20.050346323,3757.299
2025-12-31 00:30:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.4222666666667,11.786576875000002,3718.9773333333333,865.1879333333334,20.050346323,3763.4859999999994
2025-12-31 00:40:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.4322999999999,11.786576875000002,3725.972,865.1693,20.050346323,3769.673
2025-12-31 00:50:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.4423333333333,11.786576875000002,3732.9666666666667,865.1506666666667,20.050346323,3775.8599999999997
2025-12-31 01:00:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.4523666666666,11.786576875000002,3739.961333333333,865.1320333333333,20.050346323,3782.047
2025-12-31 01:10:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.4624,11.786576875000002,3746.956,865.1134,20.050346323,3788.234
2025-12-31 01:20:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.4724333333334,11.786576875000002,3753.9506666666666,865.0947666666667,20.050346323,3794.4209999999994
2025-12-31 01:30:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.4824666666667,11.786576875000002,3760.9453333333336,865.0761333333334,20.050346323,3800.6079999999997
2025-12-31 01:40:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.4925000000001,11.786576875000002,3767.94,865.0575,20.050346323,3806.795
2025-12-31 01:50:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.5025333333333,11.786576875000002,3774.9346666666665,865.0388666666666,20.050346323,3812.982
2025-12-31 02:00:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.5125666666667,11.786576875000002,3781.9293333333335,865.0202333333333,20.050346323,3819.169
2025-12-31 02:10:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.5226,11.786576875000002,3788.924,865.0016,20.050346323,3825.356
2025-12-31 02:20:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.5326333333334,11.786576875000002,3795.918666666667,864.9829666666667,20.050346323,3831.5429999999997
2025-12-31 02:30:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.5426666666667,11.786576875000002,3802.9133333333334,864.9643333333333,20.050346323,3837.73
2025-12-31 02:40:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.5527,11.786576875000002,3809.908,864.9457,20.050346323,3843.917
2025-12-31 02:50:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.5627333333333,11.786576875000002,3816.902666666667,864.9270666666666,20.050346323,3850.104
2025-12-31 03:00:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.5727666666667,11.786576875000002,3823.8973333333333,864.9084333333334,20.050346323,3856.291
2025-12-31 03:10:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.5828,11.786576875000002,3830.8920000000003,864.8898,20.050346323,3862.478
2025-12-31 03:20:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.5928333333334,11.786576875000002,3837.8866666666668,864.8711666666667,20.050346323,3868.665
2025-12-31 03:30:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.6028666666667,11.786576875000002,3844.8813333333333,864.8525333333333,20.050346323,3874.852
2025-12-31 03:40:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.6129000000001,11.786576875000002,3851.876,864.8339,20.050346323,3881.0389999999998
2025-12-31 03:50:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.6229333333333,11.786576875000002,3858.8706666666667,864.8152666666667,20.050346323,3887.2259999999997
2025-12-31 04:00:00,20.0435,-0.08555,-0.37567,19.3707,-0.11508,0.26901,509.593,509.593,489.682,489.574,551.873,551.904,532.741,532.772,70.3,20.4,867.6329666666667,11.786576875000002,3865.8653333333336,864.7966333333334,20.050346323,3893.413
