timestamp,abnormal_count,point_score_mean,point_score_max,point_status
2025-12-31 11:20:00,26,139.85776244634894,518.8083495537285,abnormal
2025-12-31 11:30:00,16,138.04692643183031,514.0411685013408,abnormal
2025-12-31 11:40:00,19,135.27512141631038,510.3105558137942,abnormal
2025-12-31 11:50:00,28,131.57459336084898,506.77299580233614,abnormal
2025-12-31 12:00:00,28,128.74680258251348,502.971576496091,abnormal
2025-12-31 12:10:00,28,127.02136601013967,500.38929481916597,abnormal
2025-12-31 12:20:00,28,126.42096934485585,498.6967486162262,abnormal
2025-12-31 12:30:00,28,126.74164305145294,497.9544605698539,abnormal
2025-12-31 12:40:00,28,128.22767710830402,498.3880918815273,abnormal
2025-12-31 12:50:00,28,129.7110478586377,501.08761897637964,abnormal
2025-12-31 13:00:00,28,131.30635529054425,504.71418396968437,abnormal
2025-12-31 13:10:00,28,132.66960258769146,508.28405423251036,abnormal
2025-12-31 13:20:00,28,134.19435670461257,512.1197776116574,abnormal
2025-12-31 13:30:00,28,135.73640855290296,515.9366350658929,abnormal
2025-12-31 13:40:00,28,136.56397113957271,518.6268448568705,abnormal
2025-12-31 13:50:00,28,137.2804074109151,521.078031006614,abnormal
2025-12-31 14:00:00,28,138.17712669283725,523.5380933299232,abnormal
2025-12-31 14:10:00,28,139.19480662133228,525.8779844438747,abnormal
2025-12-31 14:20:00,28,140.40588844943701,527.983230571999,abnormal
2025-12-31 14:30:00,28,141.57337816699038,529.6726570122672,abnormal
2025-12-31 14:40:00,28,142.78373088802485,531.0315145958381,abnormal
2025-12-31 14:50:00,28,144.10616079466223,532.2297381426689,abnormal
2025-12-31 15:00:00,28,145.40211747131335,533.0942105726328,abnormal
2025-12-31 15:10:00,28,146.7457242622884,533.8179665275956,abnormal
2025-12-31 15:20:00,20,149.29784192973037,533.8627606661347,abnormal
2025-12-31 15:30:00,11,151.70652134939405,548.0433607760834,abnormal
2025-12-31 15:40:00,8,154.39951496705922,550.853280056102,abnormal
2025-12-31 15:50:00,8,155.40637722825963,537.7280630719672,abnormal
2025-12-31 16:00:00,17,153.2976224068033,548.2476444222668,abnormal
2025-12-31 16:10:00,12,155.0423310969608,537.5049599891346,abnormal
2025-12-31 16:20:00,12,155.06801390725258,532.6682628550772,abnormal
2025-12-31 16:30:00,9,153.25444248743116,526.5451773449971,abnormal
2025-12-31 16:40:00,9,153.20110963258062,524.5486641849784,abnormal
2025-12-31 16:50:00,9,154.52312594274693,525.1349292309311,abnormal
2025-12-31 17:00:00,14,153.7088420660118,536.0512541308834,abnormal
2025-12-31 17:10:00,7,155.92043102919803,548.5781141970273,abnormal
2025-12-31 17:20:00,7,156.88519489173433,537.2103065479793,abnormal
2025-12-31 17:30:00,10,155.6822704473745,523.3928727066285,abnormal
2025-12-31 17:40:00,6,156.89348272830694,536.3416546691287,abnormal
2025-12-31 17:50:00,10,156.83074839150433,536.1168266793015,abnormal
2025-12-31 18:00:00,23,156.27413885613032,542.676931067303,abnormal
2025-12-31 18:10:00,6,160.66677960627845,544.9841949398779,abnormal
2025-12-31 18:20:00,12,161.04327623558146,558.3778866151416,abnormal
2025-12-31 18:30:00,28,158.83043949893525,542.8576573349098,abnormal
2025-12-31 18:40:00,11,162.96894530209664,543.4096270283898,abnormal
2025-12-31 18:50:00,7,167.286933719591,567.0638897224429,abnormal
2025-12-31 19:00:00,7,165.55601145616012,547.5642104123056,abnormal
2025-12-31 19:10:00,11,166.53186122582096,545.798259177105,abnormal
2025-12-31 19:20:00,6,167.54287863479087,563.8995565455632,abnormal
2025-12-31 19:30:00,6,166.41022273003935,556.1976644298362,abnormal
2025-12-31 19:40:00,10,164.62415989451074,539.6909330861417,abnormal
2025-12-31 19:50:00,8,167.33317010879705,572.6860897060342,abnormal
2025-12-31 20:00:00,9,165.8722032292636,548.9037676637505,abnormal
2025-12-31 20:10:00,13,167.65732712994063,564.78335278343,abnormal
2025-12-31 20:20:00,8,168.6181271387004,579.3368753143077,abnormal
2025-12-31 20:30:00,13,167.13627500311947,546.3383231671677,abnormal
2025-12-31 20:40:00,8,169.56870591706752,564.0771143699902,abnormal
2025-12-31 20:50:00,6,171.22827641949976,548.9051367654579,abnormal
2025-12-31 21:00:00,7,170.3060393795369,565.6014110582714,abnormal
2025-12-31 21:10:00,28,165.8278980853261,546.97246216262,abnormal
2025-12-31 21:20:00,23,167.22060087525287,549.7347245535464,abnormal
2025-12-31 21:30:00,9,170.90550466077818,578.52499693691,abnormal
2025-12-31 21:40:00,15,170.38806154332298,562.5194456487612,abnormal
2025-12-31 21:50:00,10,172.89671803063246,582.6404326190482,abnormal
2025-12-31 22:00:00,6,172.14396961541317,548.256557689675,abnormal
2025-12-31 22:10:00,7,173.91667045769265,561.4582983538727,abnormal
2025-12-31 22:20:00,10,176.4145363376933,584.2374366118385,abnormal
2025-12-31 22:30:00,6,177.56037124492596,603.8747814409672,abnormal
2025-12-31 22:40:00,6,186.04545450977665,714.0974405493142,abnormal
2025-12-31 22:50:00,6,182.4011866729205,631.752458235034,abnormal
2025-12-31 23:00:00,6,182.29909119508952,652.7068407580559,abnormal
2025-12-31 23:10:00,7,176.79688889003515,566.6721552928694,abnormal
2025-12-31 23:20:00,10,180.18890442699083,615.6229191637607,abnormal
2025-12-31 23:30:00,10,178.0194088086537,567.3180268119348,abnormal
2025-12-31 23:40:00,12,177.8958012819643,576.4643586077397,abnormal
2025-12-31 23:50:00,9,179.8086384826768,594.0677795386869,abnormal
2026-01-01 00:00:00,6,183.24671891823047,622.2581811809209,abnormal
2026-01-01 00:10:00,6,180.1166815160895,606.9945085392617,abnormal
2026-01-01 00:20:00,15,181.16371744255687,595.9490286929517,abnormal
2026-01-01 00:30:00,12,180.9795137640362,591.0026067957276,abnormal
2026-01-01 00:40:00,6,182.97464909109448,582.1409850321389,abnormal
2026-01-01 00:50:00,7,184.30450032436354,597.8577661510117,abnormal
2026-01-01 01:00:00,8,185.0132428103282,642.6672521225225,abnormal
2026-01-01 01:10:00,8,184.93781375724984,685.1044901314773,abnormal
2026-01-01 01:20:00,14,186.91351469548485,715.6136132182332,abnormal
2026-01-01 01:30:00,11,182.16146931284692,568.9676799479267,abnormal
2026-01-01 01:40:00,7,184.06490905673337,611.758108754726,abnormal
2026-01-01 01:50:00,9,183.507110412613,593.0775712049999,abnormal
2026-01-01 02:00:00,13,187.32741868238648,712.5261190049848,abnormal
2026-01-01 02:10:00,10,189.12391356376924,713.6125609347107,abnormal
2026-01-01 02:20:00,9,186.1578688688735,626.1146085390963,abnormal
2026-01-01 02:30:00,9,186.07143096317236,626.6541027736486,abnormal
2026-01-01 02:40:00,7,185.157204689242,606.07550631435,abnormal
2026-01-01 02:50:00,6,186.09364548178965,627.2266338508128,abnormal
2026-01-01 03:00:00,6,184.0549464622334,591.6633456465231,abnormal
2026-01-01 03:10:00,6,184.83118920406304,622.516000242723,abnormal
2026-01-01 03:20:00,11,184.54430599058523,608.7281784589336,abnormal
2026-01-01 03:30:00,10,187.02013957113718,638.5303795655832,abnormal
2026-01-01 03:40:00,8,190.76806055691063,668.6280586459225,abnormal
2026-01-01 03:50:00,10,185.95082437828174,574.1177220054036,abnormal
2026-01-01 04:00:00,6,194.33714607448974,747.9630863312027,abnormal
2026-01-01 04:10:00,15,186.59280111029008,636.6078783763235,abnormal
2026-01-01 04:20:00,7,187.140108453093,603.5663203541874,abnormal
2026-01-01 04:30:00,7,186.97801428142756,601.5016729212571,abnormal
2026-01-01 04:40:00,13,186.2813287063626,638.5450018138964,abnormal
2026-01-01 04:50:00,9,187.41051557502493,608.2811787911182,abnormal
2026-01-01 05:00:00,13,186.71648041391134,608.4229984419553,abnormal
2026-01-01 05:10:00,10,188.3243359702065,616.923463447826,abnormal
2026-01-01 05:20:00,16,187.40402928898519,611.5418279204272,abnormal
2026-01-01 05:30:00,14,186.23546435223187,584.6799053521798,abnormal
2026-01-01 05:40:00,7,195.26008327549238,731.8993478403905,abnormal
2026-01-01 05:50:00,7,191.60113447509795,654.4677971738746,abnormal
2026-01-01 06:00:00,7,190.40619073122755,627.9075994767584,abnormal
2026-01-01 06:10:00,7,190.62072019003972,604.6830106766035,abnormal
2026-01-01 06:20:00,11,189.71454158979896,590.6652462364339,abnormal
2026-01-01 06:30:00,8,190.31441755914648,652.6411113020874,abnormal
2026-01-01 06:40:00,11,187.52708025504174,593.4443367495336,abnormal
2026-01-01 06:50:00,7,192.40386220108107,682.1218134715868,abnormal
2026-01-01 07:00:00,6,188.34734433717418,621.2737028250342,abnormal
2026-01-01 07:10:00,6,194.39389774675934,705.75344666456,abnormal
2026-01-01 07:20:00,10,188.4816831218362,591.7084299995795,abnormal
2026-01-01 07:30:00,12,188.12957037677893,586.3753644297045,abnormal
2026-01-01 07:40:00,6,193.65396606195807,689.0960630112888,abnormal
2026-01-01 07:50:00,6,192.52621800204503,622.5302863587334,abnormal
2026-01-01 08:00:00,7,191.59096584089826,605.5694075383279,abnormal
2026-01-01 08:10:00,10,193.07423740597363,645.9995482509646,abnormal
2026-01-01 08:20:00,10,196.1355839264693,696.9142626446996,abnormal
2026-01-01 08:30:00,10,191.90953302050022,603.2220591117963,abnormal
2026-01-01 08:40:00,7,192.76827743317065,588.8074325683468,abnormal
2026-01-01 08:50:00,7,194.54186784017162,618.7817044011553,abnormal
2026-01-01 09:00:00,7,196.29425172053078,611.1824198358905,abnormal
2026-01-01 09:10:00,12,196.49289405479936,650.4704807927657,abnormal
2026-01-01 09:20:00,10,195.80341538105466,612.5596814393509,abnormal
2026-01-01 09:30:00,11,196.40299006483002,629.4585196756979,abnormal
2026-01-01 09:40:00,12,194.74295847784722,606.7357058195797,abnormal
2026-01-01 09:50:00,7,197.49127308523626,614.2756076576276,abnormal
2026-01-01 10:00:00,8,201.01643711166088,699.713386207307,abnormal
2026-01-01 10:10:00,8,198.34980951735477,617.2718688639571,abnormal
2026-01-01 10:20:00,8,204.1134048808792,685.1266864990564,abnormal
2026-01-01 10:30:00,12,207.1729972120466,730.7164088660955,abnormal
2026-01-01 10:40:00,9,203.39916599367066,655.2739878947489,abnormal
2026-01-01 10:50:00,9,205.5652240841184,693.6618845275101,abnormal
2026-01-01 11:00:00,9,200.62284375372678,637.8376885961578,abnormal
2026-01-01 11:10:00,15,201.2654296588096,653.6568135325019,abnormal
2026-01-01 11:20:00,7,199.72195864998545,610.0835306425547,abnormal
2026-01-01 11:30:00,6,203.45345915149,633.8536988365335,abnormal
2026-01-01 11:40:00,9,214.158448881397,758.184099759938,abnormal
2026-01-01 11:50:00,11,205.1129082809077,604.4775453772229,abnormal
2026-01-01 12:00:00,6,204.8534216252155,609.4703409058347,abnormal
2026-01-01 12:10:00,12,203.8634109036248,597.5454086493619,abnormal
2026-01-01 12:20:00,10,206.5095289103021,668.7419284874078,abnormal
2026-01-01 12:30:00,7,210.47237126209717,692.5366380840096,abnormal
2026-01-01 12:40:00,7,214.50868843930488,709.0933226453903,abnormal
2026-01-01 12:50:00,15,212.14099304324714,677.7651029646548,abnormal
2026-01-01 13:00:00,13,211.75857963561205,646.8891783916724,abnormal
2026-01-01 13:10:00,7,212.73024398479654,637.5503238498325,abnormal
2026-01-01 13:20:00,6,213.01876530232565,617.5968547239991,abnormal
2026-01-01 13:30:00,6,213.57588117176059,619.5920417939811,abnormal
2026-01-01 13:40:00,7,213.21855795051982,606.3151035587581,abnormal
2026-01-01 13:50:00,8,216.27451329479976,631.7719299648809,abnormal
2026-01-01 14:00:00,12,215.78048699185635,629.3705490498866,abnormal
2026-01-01 14:10:00,14,213.74060702514026,610.7561282639505,abnormal
