timestamp,abnormal_count,point_score_mean,point_score_max,point_status
2025-12-30 14:40:00,19,514.0961412764434,767.0180394059207,abnormal
2025-12-30 14:50:00,8,522.661386688726,1152.9524252003637,abnormal
2025-12-30 15:00:00,12,484.6331122210813,940.9861933428831,abnormal
2025-12-30 15:10:00,8,437.25580473468517,689.3397626272389,abnormal
2025-12-30 15:20:00,8,429.33831356446484,675.6042014280595,abnormal
2025-12-30 15:30:00,11,400.0881451790982,662.7743387851945,abnormal
2025-12-30 15:40:00,8,394.1631949681682,670.8762073771378,abnormal
2025-12-30 15:50:00,8,380.094806201538,657.5510327600464,abnormal
2025-12-30 16:00:00,8,376.2447330963451,641.2154271899062,abnormal
2025-12-30 16:10:00,8,373.8615276220251,622.4075971631073,abnormal
2025-12-30 16:20:00,8,363.15606507709083,612.626923118117,abnormal
2025-12-30 16:30:00,8,366.8640720096975,637.8379985036291,abnormal
2025-12-30 16:40:00,10,376.0966838561381,825.0492895074692,abnormal
2025-12-30 16:50:00,8,367.7240481926031,599.9556993890338,abnormal
2025-12-30 17:00:00,9,370.7343560092112,687.8503754462163,abnormal
2025-12-30 17:10:00,11,362.72425607256383,629.8479914102422,abnormal
2025-12-30 17:20:00,8,361.86297268258903,621.9952223175471,abnormal
2025-12-30 17:30:00,8,359.54604844207444,614.0059510306544,abnormal
2025-12-30 17:40:00,11,355.7076510292267,639.674361480214,abnormal
2025-12-30 17:50:00,8,355.1535043416053,613.3758131675615,abnormal
2025-12-30 18:00:00,11,347.5584124411348,581.9735809373319,abnormal
2025-12-30 18:10:00,11,345.0684528008082,601.9062511424062,abnormal
2025-12-30 18:20:00,9,339.5573159571131,594.8870255240772,abnormal
2025-12-30 18:30:00,11,333.6840835360285,588.3727378979931,abnormal
2025-12-30 18:40:00,11,331.9231746123062,589.91663417797,abnormal
2025-12-30 18:50:00,11,327.5226969958966,570.6151494027016,abnormal
2025-12-30 19:00:00,14,328.553532299913,596.2215370226605,abnormal
2025-12-30 19:10:00,8,325.06335157030446,581.1626456112353,abnormal
2025-12-30 19:20:00,11,322.705761852056,553.6116313444356,abnormal
2025-12-30 19:30:00,8,321.1917302904652,555.4541933066677,abnormal
2025-12-30 19:40:00,11,316.0855124374641,548.3404807278714,abnormal
2025-12-30 19:50:00,11,315.6022716997308,556.7563791260174,abnormal
2025-12-30 20:00:00,11,317.5971638916432,558.9675768082247,abnormal
2025-12-30 20:10:00,9,314.81502676765865,586.9526596239419,abnormal
2025-12-30 20:20:00,13,312.4970924655222,558.8699532209143,abnormal
2025-12-30 20:30:00,10,308.98110727747104,565.3905724699348,abnormal
2025-12-30 20:40:00,11,308.97497169177296,560.4340733471854,abnormal
2025-12-30 20:50:00,11,311.67782380457294,538.8705923353709,abnormal
2025-12-30 21:00:00,9,307.39977704188414,565.6941959867713,abnormal
2025-12-30 21:10:00,11,308.24889280938305,591.440504452896,abnormal
2025-12-30 21:20:00,9,312.17587930756207,587.7318416930066,abnormal
2025-12-30 21:30:00,9,310.7503369006315,567.5094275357287,abnormal
2025-12-30 21:40:00,13,308.7487314808236,555.5820936249195,abnormal
2025-12-30 21:50:00,9,307.99615181327584,557.848978076575,abnormal
2025-12-30 22:00:00,8,306.7315713797945,550.0838959957397,abnormal
2025-12-30 22:10:00,8,303.09350067147915,551.7088202427776,abnormal
2025-12-30 22:20:00,9,303.72453111644865,531.275363631305,abnormal
2025-12-30 22:30:00,8,308.9041554808153,533.1425879085713,abnormal
2025-12-30 22:40:00,10,309.4125354465275,569.6528718147554,abnormal
2025-12-30 22:50:00,10,305.36890672088134,529.9575151987056,abnormal
2025-12-30 23:00:00,8,303.5809343957407,553.7307253202357,abnormal
2025-12-30 23:10:00,12,301.9346222100509,552.0061131434883,abnormal
2025-12-30 23:20:00,31,295.55495180403784,526.530265105107,abnormal
2025-12-30 23:30:00,31,294.9774214934477,526.1373593750748,abnormal
2025-12-30 23:40:00,31,294.2068806442587,525.3363447135465,abnormal
2025-12-30 23:50:00,31,293.1630941010912,524.2131119096188,abnormal
2025-12-31 00:00:00,31,292.2153959271836,523.0213144466687,abnormal
2025-12-31 00:10:00,31,291.79184983609554,522.1820463767298,abnormal
2025-12-31 00:20:00,31,291.3085352466698,521.1197178133801,abnormal
2025-12-31 00:30:00,31,290.6239852735525,519.8907900570305,abnormal
2025-12-31 00:40:00,31,289.8914332763033,518.5079452314807,abnormal
2025-12-31 00:50:00,31,289.56051615886435,517.4182683358827,abnormal
2025-12-31 01:00:00,31,289.10661893927,516.0964110661286,abnormal
2025-12-31 01:10:00,31,288.7005861971201,514.7222448267075,abnormal
2025-12-31 01:20:00,31,288.26885581908687,513.402848511712,abnormal
2025-12-31 01:30:00,31,287.9596783584637,512.2508834348145,abnormal
2025-12-31 01:40:00,31,287.6074649995044,511.42896888311157,abnormal
2025-12-31 01:50:00,31,287.3201186981847,511.2583429863272,abnormal
2025-12-31 02:00:00,31,286.99808530951094,511.06212579736047,abnormal
2025-12-31 02:10:00,31,286.7600570353545,510.8264517212639,abnormal
2025-12-31 02:20:00,31,286.5633562767245,510.54898790082757,abnormal
2025-12-31 02:30:00,31,286.34154991776853,510.05886959569034,abnormal
2025-12-31 02:40:00,31,285.85745288219323,509.3274989063576,abnormal
2025-12-31 02:50:00,31,285.2676022196764,508.46637470563996,abnormal
2025-12-31 03:00:00,31,284.60820855532864,507.4750139257101,abnormal
2025-12-31 03:10:00,31,284.0100116681444,506.5939180737916,abnormal
2025-12-31 03:20:00,31,283.57238461378824,505.78847871880873,abnormal
2025-12-31 03:30:00,31,283.09071327042903,504.97412933276894,abnormal
2025-12-31 03:40:00,31,282.57665590811143,504.3581103655097,abnormal
2025-12-31 03:50:00,31,282.1703826801579,503.736033962176,abnormal
2025-12-31 04:00:00,31,281.9307225615504,503.140626343524,abnormal
2025-12-31 04:10:00,8,285.18116208446907,502.633090150183,abnormal
2025-12-31 04:20:00,31,281.49839151570103,502.19034627076724,abnormal
2025-12-31 04:30:00,31,281.0524792227079,501.956319661701,abnormal
2025-12-31 04:40:00,31,280.6218676865697,501.8121066793364,abnormal
2025-12-31 04:50:00,31,280.31124121805965,501.8015986277002,abnormal
2025-12-31 05:00:00,31,280.12202288771545,501.84927705672214,abnormal
2025-12-31 05:10:00,31,279.8992696272576,501.6160274413832,abnormal
2025-12-31 05:20:00,31,279.7251492186302,501.2371283644013,abnormal
2025-12-31 05:30:00,31,279.57459626084903,500.7068727682281,abnormal
2025-12-31 05:40:00,31,279.3893519792267,500.4841895120161,abnormal
2025-12-31 05:50:00,31,279.2959243273514,500.8325435311127,abnormal
2025-12-31 06:00:00,22,283.6229281882894,501.1334904851836,abnormal
2025-12-31 06:10:00,31,279.619027691595,501.38513956669135,abnormal
2025-12-31 06:20:00,31,279.9820510367653,501.47309356127596,abnormal
2025-12-31 06:30:00,31,280.24842831127563,501.31476918988733,abnormal
2025-12-31 06:40:00,17,287.6056920545776,501.26957124763237,abnormal
2025-12-31 06:50:00,31,280.4834064632475,501.2437319755634,abnormal
2025-12-31 07:00:00,31,280.74212789499137,501.2967726477889,abnormal
2025-12-31 07:10:00,31,280.955536923249,501.3964826104112,abnormal
2025-12-31 07:20:00,31,281.0007451964292,501.4143028789058,abnormal
2025-12-31 07:30:00,31,280.92920811034304,501.40084764848507,abnormal
2025-12-31 07:40:00,31,280.73333973268547,501.30682937606247,abnormal
2025-12-31 07:50:00,31,280.45314134007015,501.12992786064,abnormal
2025-12-31 08:00:00,27,280.5294218885304,500.82345907211175,abnormal
2025-12-31 08:10:00,24,280.0952558221877,502.1108947782747,abnormal
2025-12-31 08:20:00,10,284.2650835827265,527.5791286307433,abnormal
2025-12-31 08:30:00,10,289.54792967158676,554.9833437037832,abnormal
2025-12-31 08:40:00,8,287.1128552410844,527.2558446323635,abnormal
2025-12-31 08:50:00,11,288.69796907354043,517.892432851257,abnormal
2025-12-31 09:00:00,9,297.181478889997,605.1873776486894,abnormal
2025-12-31 09:10:00,11,290.2499736141616,502.17674141517756,abnormal
2025-12-31 09:20:00,8,308.6052092420979,704.8851708249184,abnormal
2025-12-31 09:30:00,13,290.94279453310037,529.397554179129,abnormal
2025-12-31 09:40:00,10,292.161666918729,559.9566557965603,abnormal
2025-12-31 09:50:00,10,297.3151666045974,577.5426115540779,abnormal
2025-12-31 10:00:00,8,291.35421306727795,538.4611810920212,abnormal
2025-12-31 10:10:00,8,292.95287116988965,586.9143718414068,abnormal
2025-12-31 10:20:00,31,277.34970167568224,503.4865571530597,abnormal
2025-12-31 10:30:00,31,276.50858189397337,503.7222596326887,abnormal
2025-12-31 10:40:00,10,291.2915924588843,579.0369830994025,abnormal
2025-12-31 10:50:00,11,290.4782781474106,561.151157102986,abnormal
2025-12-31 11:00:00,14,287.8691028628777,528.5347023515454,abnormal
2025-12-31 11:10:00,10,284.2878982082986,508.8279049120889,abnormal
2025-12-31 11:20:00,11,287.03152098193715,511.47681877500605,abnormal
2025-12-31 11:30:00,31,273.3142863668722,504.0975175145422,abnormal
