timestamp,MS-0-0D-QJ-1_temperature,MS-0-0D-QJ-1_xAxisAngle,MS-0-0D-QJ-1_yAxisAngle,MS-0-1D-QJ-1_temperature,MS-0-1D-QJ-1_xAxisAngle,MS-0-1D-QJ-1_yAxisAngle,MS-0-1L-LX-1_beamPierRelativeDisplacement,MS-0-1L-LX-1_measureDisplacement,MS-0-1L-LX-3_beamPierRelativeDisplacement,MS-0-1L-LX-3_measureDisplacement,MS-0-1L-WSD-1_humidity,MS-0-1L-WSD-1_temperature,MS-0-1L-YB-1_frequency,MS-0-1L-YB-1_strain,MS-0-1L-YB-1_temperature,MS-0-1L-YB-2_frequency,MS-0-1L-YB-2_strain,MS-0-1L-YB-2_temperature
2025-12-30 16:30:00,152.15970803200992,150.32298832170778,154.0718536436882,150.8350539463736,148.51272927878017,157.7959428820441,266.2619075777416,219.92519024185094,157.53102809799535,159.14213650968736,157.69124236075098,158.26516545641493,151.89776990505294,146.3750125234562,351.4419089820496,146.8860838304677,162.36225230734257,334.64283303211505
2025-12-30 16:40:00,144.8257564252549,148.02295460813156,153.38294961555556,146.976964588516,143.35425957619015,162.22190046979102,248.89437964396905,201.31803602478863,149.31430046694203,150.18936774707902,151.63546069921082,148.72313211227032,145.1294627174729,139.81783423646885,416.26600660924595,141.5916928060963,155.71531498534657,354.8571902898316
2025-12-30 16:50:00,136.6098364004518,134.56738603305996,139.8015270828628,139.99751023491868,146.10067065931872,171.9253319956145,237.38537210335352,159.3504518700898,140.8672999136843,142.16359725209506,142.45896561927032,140.58373916574362,136.33298706432558,132.43896886727777,380.9793425598398,132.94294602678082,147.5794779727172,341.33578122722264
2025-12-30 17:00:00,130.42049929912807,133.05550923775232,138.1314920361122,133.37821640023492,125.9945427586831,153.82989406538326,242.50043781118876,136.31348318109644,132.71375416487092,133.98990522166287,134.5446143059211,132.51538965562253,128.38317528400836,124.46264208673456,474.9044721940469,125.70955756337705,139.69426663984183,455.18998335944207
2025-12-30 17:10:00,125.5365038519215,121.93398727310253,136.76413917726646,125.42798907074558,147.74203472796412,145.92766301693933,239.29510406055073,134.54874793324996,128.51684070038863,129.81897016664655,129.5143637468273,128.0509428557534,124.14974558203934,120.3226802653094,451.435924931871,120.64169355909591,135.16451986113685,442.23936648997136
2025-12-30 17:20:00,122.16224191197689,121.95739286548815,144.61912605148444,121.85299166314063,130.49290783060712,154.07383201249095,228.16167097477967,132.63005606192914,125.69855780778884,126.64685520360922,126.2955335085042,125.47600917209512,126.26602813880706,116.9623675386419,577.6114239556946,117.95139576957183,131.54996925232368,571.1939268895372
2025-12-30 17:30:00,118.7786526165677,125.3827646670845,123.75502070568709,119.11033741454918,116.94503410682495,133.95079329038765,218.6157612145333,137.8774644311604,122.61980484476364,123.88108653496798,123.91556412107013,123.02227836085645,125.4441138129947,114.54995749843116,345.06205703672975,114.33414018148883,128.84080049914138,336.2830557538331
2025-12-30 17:40:00,114.9997779053756,119.65095907270329,127.53900355741844,115.44822197754334,118.93048737513386,127.71616996028628,209.3314712122563,138.78213367805233,119.38595246264508,119.80397424409432,120.79695079115187,119.46516080266935,114.73281158008342,111.0737966675986,443.6302994643145,110.4424473631647,125.43847346028333,414.6024211136573
2025-12-30 17:50:00,112.47712459784992,113.2046122098316,119.96708728978597,112.90285762871127,115.65789855775458,119.90295503546803,213.39101170526752,137.3460849332358,116.8050323341289,117.11182821217288,117.82391440131542,116.38934683209911,111.65738324360578,108.03777121273268,334.67208635011104,107.52887316040974,122.37863335617882,354.15859090662275
2025-12-30 18:00:00,110.15449185774747,109.1221570483809,122.07306818473289,112.05531391801868,106.48085579356585,125.21160849055198,235.1384338007798,133.08435416677824,114.43347233936097,114.7181177195209,115.58735898980329,114.12872015445686,108.96458432030212,105.58748538321359,401.20067484430757,105.65945676700582,120.10595935606254,402.58118062201333
2025-12-30 18:10:00,107.771365555634,104.65032407748234,112.36974388981977,109.72065029756374,103.85479858048407,114.10280493316301,230.03818550485448,126.67146977787333,112.6988616953146,112.7557460849776,113.1861079400293,111.89921124554161,106.38203966594689,103.34389311356222,433.5367914858758,105.34942095854726,117.92131204325747,491.53253152714535
2025-12-30 18:20:00,106.08043845201463,108.08369992524466,108.93570041563726,106.99454462105948,109.10190158750405,124.18502678466221,193.12965781881672,120.32588980828243,110.14565956435845,110.83813714158231,111.17929178937949,110.06527358103446,104.15033807120172,101.17308086241698,387.3116641478243,101.7224719623954,115.66283400208667,343.14364080011836
2025-12-30 18:30:00,103.93093480041534,116.36624774591844,115.58358855401538,103.79316781838504,123.9097581591598,129.2924039002785,199.0852538244176,115.84322347450896,108.12376318286573,108.80215337351945,109.00977461757302,108.12510014370592,101.88801150828698,99.01151173831039,536.9483757167104,99.09648274982362,113.44763120319269,562.2016230995271
2025-12-30 18:40:00,102.40946193293705,113.5717608697151,114.58712152418695,102.6058988605215,106.35892958587206,123.73578169992021,188.0546972774906,113.10241808508758,106.95014920677752,107.3294389027815,107.61435841675379,106.94526893737181,100.4790382548936,97.61865236348275,568.1439539251144,98.18431732706262,111.99998927799663,605.8327141913664
2025-12-30 18:50:00,101.43716414045036,97.6986749713064,107.96020093367275,101.30219245387025,97.45852113673237,105.92705970874763,184.99800525611892,110.56955509722665,106.42007179328795,106.84470567630282,106.92122636855211,106.01031466949466,99.91957064607655,96.90016897716794,480.38097032562723,96.65269967463027,111.21261980771226,374.81470302059734
2025-12-30 19:00:00,102.41098120922915,98.71652755076676,118.87657188315586,100.84588346589982,97.84909556400906,106.09978868647663,184.60222530795843,108.25920474307945,106.08920290675985,106.36925052496133,106.95058344078979,105.70670481350295,98.91570265206852,96.46671640089022,635.9916560845758,98.9388281631027,110.90556720708067,663.4312781415995
2025-12-30 19:10:00,101.11898031728887,105.60209040330594,107.38974007714211,100.14127768409713,116.61407115294752,114.57467322162702,185.07439864173085,106.09912482620283,105.0088728721278,105.34992684442776,105.85767194456935,105.01518910423485,97.89524434967093,95.60632665289086,681.3703552271052,100.806994648862,109.88109543767007,911.6945384397445
