sensor_name,bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
JMSD-2-2D-LX-2_beamPierRelativeDisplacement,蕉门水道特大桥,JMSD-2-2D-LX-2,beamPierRelativeDisplacement,90.536,74.137,85.616,known_system_gap,0.2876,0.0,0.0,0.0
JMSD-C-3L-YB-1_temperature,蕉门水道特大桥,JMSD-C-3L-YB-1,temperature,94.146,74.022,88.109,known_system_gap,0.2722,0.0,0.0,0.0
JMSD-C-3L-YB-1_frequency,蕉门水道特大桥,JMSD-C-3L-YB-1,frequency,94.146,74.022,88.109,known_system_gap,0.2722,0.0,0.0,0.0
JMSD-C-1L-YB-1_frequency,蕉门水道特大桥,JMSD-C-1L-YB-1,frequency,94.146,74.094,88.13,known_system_gap,0.2715,0.0,0.0,0.0
JMSD-C-1L-YB-1_temperature,蕉门水道特大桥,JMSD-C-1L-YB-1,temperature,94.146,74.094,88.13,known_system_gap,0.2715,0.0,0.0,0.0
JMSD-C-2L-YB-1_frequency,蕉门水道特大桥,JMSD-C-2L-YB-1,frequency,94.243,74.112,88.204,known_system_gap,0.2709,0.0,0.0,0.0
JMSD-C-2L-YB-1_temperature,蕉门水道特大桥,JMSD-C-2L-YB-1,temperature,94.243,74.112,88.204,known_system_gap,0.2709,0.0,0.0,0.0
JMSD-D-1L-YB-1_frequency,蕉门水道特大桥,JMSD-D-1L-YB-1,frequency,94.439,74.243,88.38,known_system_gap,0.2687,0.0,0.0,0.0
JMSD-D-1L-YB-1_temperature,蕉门水道特大桥,JMSD-D-1L-YB-1,temperature,94.439,74.243,88.38,known_system_gap,0.2687,0.0,0.0,0.0
JMSD-D-2L-YB-1_temperature,蕉门水道特大桥,JMSD-D-2L-YB-1,temperature,94.79,74.501,88.703,known_system_gap,0.2645,0.0,0.0,0.0
JMSD-D-2L-YB-1_frequency,蕉门水道特大桥,JMSD-D-2L-YB-1,frequency,94.79,74.501,88.703,known_system_gap,0.2645,0.0,0.0,0.0
JMSD-B-2L-YB-1_temperature,蕉门水道特大桥,JMSD-B-2L-YB-1,temperature,94.731,74.742,88.734,known_system_gap,0.2624,0.0,0.0,0.0
JMSD-B-2L-YB-1_frequency,蕉门水道特大桥,JMSD-B-2L-YB-1,frequency,94.731,74.742,88.734,known_system_gap,0.2624,0.0,0.0,0.0
JMSD-B-3L-YB-1_frequency,蕉门水道特大桥,JMSD-B-3L-YB-1,frequency,94.77,74.777,88.772,known_system_gap,0.2618,0.0,0.0,0.0
JMSD-B-3L-YB-1_temperature,蕉门水道特大桥,JMSD-B-3L-YB-1,temperature,94.77,74.777,88.772,known_system_gap,0.2618,0.0,0.0,0.0
JMSD-A-1L-YB-1_temperature,蕉门水道特大桥,JMSD-A-1L-YB-1,temperature,94.926,74.449,88.783,known_system_gap,0.2644,0.0,0.0,0.0
JMSD-A-1L-YB-1_frequency,蕉门水道特大桥,JMSD-A-1L-YB-1,frequency,94.926,74.449,88.783,known_system_gap,0.2644,0.0,0.0,0.0
JMSD-B-1L-YB-1_temperature,蕉门水道特大桥,JMSD-B-1L-YB-1,temperature,94.829,74.76,88.808,known_system_gap,0.2618,0.0,0.0,0.0
JMSD-B-1L-YB-1_frequency,蕉门水道特大桥,JMSD-B-1L-YB-1,frequency,94.829,74.76,88.808,known_system_gap,0.2618,0.0,0.0,0.0
JMSD-A-3L-YB-1_frequency,蕉门水道特大桥,JMSD-A-3L-YB-1,frequency,94.887,74.76,88.849,known_system_gap,0.2615,0.0,0.0,0.0
JMSD-A-3L-YB-1_temperature,蕉门水道特大桥,JMSD-A-3L-YB-1,temperature,94.887,74.76,88.849,known_system_gap,0.2615,0.0,0.0,0.0
JMSD-D-3L-YB-1_temperature,蕉门水道特大桥,JMSD-D-3L-YB-1,temperature,94.985,74.669,88.89,known_system_gap,0.2619,0.0,0.0,0.0
JMSD-D-3L-YB-1_frequency,蕉门水道特大桥,JMSD-D-3L-YB-1,frequency,94.985,74.669,88.89,known_system_gap,0.2619,0.0,0.0,0.0
JMSD-A-2L-YB-1_frequency,蕉门水道特大桥,JMSD-A-2L-YB-1,frequency,94.887,74.949,88.906,known_system_gap,0.2596,0.0,0.0,0.0
JMSD-A-2L-YB-1_temperature,蕉门水道特大桥,JMSD-A-2L-YB-1,temperature,94.887,74.949,88.906,known_system_gap,0.2596,0.0,0.0,0.0
